ordre,name,address,city,lat,lng,rating,reviews,score,promo,uber_eats_url
1,"Le Commerce","Rue Labrouste","Paris 15e",48.833996,2.3080854,4.2,"360+",8,"Top Offer • Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/le-commerce-restaurant-thai-traditionnel/ByYP5ntvTOK_dS9YPV-EQw"
2,"Il Etait Une Pizza","Rue Falguière","Paris 15e",48.8404425,2.3127466,4.6,"380+",3,"","https://www.ubereats.com/fr-en/store/il-etait-une-pizza/RVD-pUNWR0u2e6q9fb9DQQ"
3,"Les Jardins de Shah Jahan","Rue de Vaugirard","Paris 15e",48.8430801,2.3133987,4.5,"300+",4,"","https://www.ubereats.com/fr-en/store/les-jardins-de-shah-jahan/EHEFCdKRStSEBPDqFEkrgQ"
4,"Pizza Girl","Rue de Vaugirard","Paris 6e",48.8452788,2.3204914,4.6,"120+",3,"","https://www.ubereats.com/fr-en/store/pizza-girl/flxXe5NtStyZ1uoBwJteVA"
5,"Les Délices du Kashmir","Rue du Départ","Paris 14e",48.8424526,2.3235103,4.6,"1,500+",2,"","https://www.ubereats.com/fr-en/store/les-delices-du-kashmir-depart/tBzvxjqPTMOKEWyoZGRqQg"
6,"Le Lotus Imperial","Rue d'Odessa","Paris 14e",48.8423761,2.3246727,4.5,"7,000+",2,"Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/le-lotus-imperial/hv94RdcmS260bStrbsiXuA"
7,"Basilic Thaï","98 Boulevard du Montparnasse","Paris 14e",48.8424115,2.3276911,4.5,"1,500+",3,"","https://www.ubereats.com/fr-en/store/basilic-thai/I97d0LYgREe-5BzhCGapwA"
8,"Thai Panthong","37 Rue de l'Ouest","Paris 14e",48.8364475,2.3203577,4.4,"140+",4,"","https://www.ubereats.com/fr-en/store/thai-panthong/tnw5HiptTzSK83cXNF3qGQ"
9,"Avec Amour Le Burger","100 Rue du Château","Paris 14e",48.8358906,2.3190452,4.6,"6,000+",0,"","https://www.ubereats.com/fr-en/store/avec-amour-le-burger-montparnasse/pg3W8jyFWKGWel6PK6PoFg"
10,"Food Vibes","Rue du Château","Paris 14e",48.8353238,2.3198632,4.3,"180+",6,"","https://www.ubereats.com/fr-en/store/food-vibes/NlSNc8rFVKONYmZJww7Rpg"
11,"Food Asia","Avenue du Maine","Paris 14e",48.8346465,2.323814,4.5,"500+",4,"","https://www.ubereats.com/fr-en/store/food-asia/PmIm9tPdT2ql7cktxM3QOQ"
12,"SMASH BURGER PARIS","Rue Pierre Larousse","Paris 14e",48.8283254,2.3150828,4.5,"1,500+",3,"2 Offers Available","https://www.ubereats.com/fr-en/store/smash-burger-paris/B6Fi_DcVSAO-N8XdO-o_LQ"
13,"Smash Burger","Rue Pierre Larousse","Paris 14e",48.8283254,2.3150828,4.3,"130+",6,"","https://www.ubereats.com/fr-en/store/smash-burger-saint-cloud/A8aSbMKvUmOj_LVP79LSZA"
