ordre,name,address,city,lat,lng,rating,reviews,score,promo,uber_eats_url
1,"TANDOORI KITCHEN® 🥘🔥","Rue Vieille Forge","Vanves",48.8204728,2.2849429,4.4,"100+",5,"Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/tandoori-kitchen/m715rPdQRlKoTp65V1tMWg"
2,"Tandoori Kitchen","Rue Vieille Forge","Vanves",48.8204728,2.2849429,4.5,"700+",4,"","https://www.ubereats.com/fr-en/store/tandoori-kitchen/1ueOtToZS5Wl6NHiCn5inQ"
3,"O Frensh Burger","Rue Béranger","Malakoff",48.8213661,2.3038577,4.4,"200+",4,"","https://www.ubereats.com/fr-en/store/o-frensh-burger/1wbb0PrlTrO2eLDWePpbHQ"
4,"MIU THAÏ N JAP 🇹🇭🍣","Avenue Pierre Larousse","Malakoff",48.8212914,2.3044358,3.6,"280+",2,"","https://www.ubereats.com/fr-en/store/miu-thai-n-jap/Of6B0GEbTf6K16SPMEqXAg"
5,"The Box Burger","Rue Gambetta","Malakoff",48.8227808,2.3077092,4.3,"900+",6,"","https://www.ubereats.com/fr-en/store/the-box-burger/wAC8wBNmT6iaAaVs6THg2A"
6,"Mumbai Lounge","Boulevard Victor","Paris 15e",48.8343068,2.2848125,4.6,"460+",3,"","https://www.ubereats.com/fr-en/store/mumbai-lounge/BDa3Sxq5TWqVMsSx7hsOew"
7,"Muskan","Avenue Victor Hugo","Clamart",48.808744,2.2716001,4.6,"600+",3,"","https://www.ubereats.com/fr-en/store/muskan/j6CiNC0jQbO1b8NvyNjMMA"
8,"Le Neuf de Thai","12 Avenue de Paris","Châtillon",48.8043894,2.2896818,4.6,"1,500+",2,"","https://www.ubereats.com/fr-en/store/le-neuf-de-thai/mZQEjaH6ROaBQBL_YABIQw"
