ordre,name,address,city,lat,lng,rating,reviews,score,promo,uber_eats_url
1,"La Mia Pizza","Rue Mouton Duvernet","Paris 14e",48.8317601,2.3281008,4.6,"280+",3,"","https://www.ubereats.com/fr-en/store/la-mia-pizza/mfhUyL87QDe6qqYV04LCwQ"
2,"Thai Paragon","Rue Sophie Germain","Paris 14e",48.8309029,2.3304285,4.6,"160+",3,"","https://www.ubereats.com/fr-en/store/thai-paragon/SKtEdUqcTmKDFG2z5tYBfA"
3,"Uno italian pizza","6 Rue Montbrun","Paris 14e",48.8290259,2.329955,4.4,"117",4,"","https://www.ubereats.com/fr-en/store/uno-italian-pizza/tsIVy7jZXnOGVMJhi6mqZw"
4,"Pizza Pepino","33 Rue de l'Amiral Mouchez","Paris 13e",48.8239465,2.3416177,3.8,"500+",6,"","https://www.ubereats.com/fr-en/store/pizza-pepino/Xg_cRJnDS06RG-ZpRtli-A"
5,"Saveurs d'Himalaya","Rue Boussingault","Paris 13e",48.8237982,2.3450583,4.3,"2,000+",5,"","https://www.ubereats.com/fr-en/store/saveurs-dhimalaya/CmLoZJEDTjmKvMblJYcHMA"
6,"Viet Thai","201 Avenue de Choisy","Paris 13e",48.8298639,2.3567821,4.5,"110+",4,"","https://www.ubereats.com/fr-en/store/viet-thai/M-lb5tsRVuyIrUdst3xonw"
7,"Pâtes Thaï","Rue Primatice","Paris 13e",48.8336442,2.3554509,4.4,"200+",4,"","https://www.ubereats.com/fr-en/store/pates-thai/cNU2fS15Sxyea5KF3Z04Rg"
8,"Royal Kashmir","Villa des Gobelins","Paris 13e",48.8339125,2.3534995,4.2,"2,000+",7,"Top Offer • Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/royal-kashmir/TgcHTC9cQVyZ5SwZeztvNQ"
9,"Il était un burger 🍔","Rue Mouffetard","Paris 5e",48.8423863,2.3496819,4.6,"1,000+",3,"Save on Select Items","https://www.ubereats.com/fr-en/store/il-etait-un-burger/_6XYsKT7UZObF_qXMATaPQ"
10,"Joe Burger","Rue Descartes","Paris 5e",48.8451465,2.3492229,4.5,"300+",4,"","https://www.ubereats.com/fr-en/store/joe-burger/18jEWPZjRLeluwxX1TUvJA"
11,"Wad Thai","Placette Jacqueline-de-Romilly","Paris 5e",48.8471077,2.3485996,4.3,"900+",6,"","https://www.ubereats.com/fr-en/store/wad-thai/k2VFbZKrQwqpjyxnls0E0Q"
12,"Dolce Pizza","Rue Saint-Jacques","Paris 5e",48.8393026,2.3400809,4.5,"1,000+",3,"","https://www.ubereats.com/fr-en/store/dolce-pizza/q6-gDrj0Q2iFFofULOclUg"
13,"India Gate","Boulevard de l'Hôpital","Paris 5e",48.8409097,2.3621386,4.3,"5,000+",4,"Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/india-gate/Ne7BpODOQfqqxHwSESYUqg"
