ordre,name,address,city,lat,lng,rating,reviews,score,promo,uber_eats_url
1,"Pitaya","5 Rue de la Harpe","Paris 5e",48.8528926,2.344681,4,"900+",7,"Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/pitaya-arcueil/Q8qOZtOrXOGj-xQpz9gZSQ"
2,"Pizza &amp; Pasta","Rue de la Reynie","Paris 4e",48.860084,2.3496553,3.6,"140+",2,"3 Offers Available","https://www.ubereats.com/fr-en/store/pizza-%26-pasta/xjj6rMmrR0e8D68CrCBO5Q"
3,"Bollynan","12 Rue des Petits Carreaux","Paris 2e",48.8667457,2.3473592,4.3,"1,500+",7,"Top Offer • Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/bollynan-grands-boulevards/lzbtr0SURqia70U4HO26QA"
4,"Echo","95 Rue d'Aboukir","Paris 2e",48.8682798,2.3485268,4.6,"2,000+",2,"","https://www.ubereats.com/fr-en/store/echo-smash-burgers-%26-brunch/i5pmsTLXQPuQtGbfIQzCWg"
5,"Carin'o Pizza","Rue Chénier","Paris 2e",48.8692542,2.3515683,4.5,"180+",5,"Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/carino-pizza/hRRwgECSRq-kNg6iPAAZhg"
6,"Sonny's Pizza","291 Rue Saint-Denis","Paris 2e",48.8694634,2.3523434,4.5,"2,000+",3,"","https://www.ubereats.com/fr-en/store/sonnys-pizza/I5u-pYWlSrK9nt-rRLhfjw"
7,"Jay's Pizza","Rue de Mazagran","Paris 10e",48.8708799,2.3521087,4.6,"360+",3,"","https://www.ubereats.com/fr-en/store/jays-pizza/L_8kzJGTXlGUBFBPrtIXyg"
8,"Ben's pizza","Rue de Mazagran","Paris 10e",48.8708799,2.3521087,4.6,"600+",3,"","https://www.ubereats.com/fr-en/store/bens-pizza/csINhjtvRCWEiU9Mwvnz4g"
9,"Indiana Café","Boulevard de Bonne Nouvelle","Paris 10e",48.8708172,2.3482539,4.4,"600+",4,"","https://www.ubereats.com/fr-en/store/indiana-cafe-saint-cloud/OMDV5JptTS2lLqNByOAWbw"
10,"Bambou II","23 Rue des Jeûneurs","Paris 2e",48.8693314,2.3449516,4.4,"1,500+",5,"Top Offer • Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/bambou-ii/PUGXU-uERsuvRshDHE6DpQ"
11,"Tea'ke Your Time","Rue René Boulanger","Paris 10e",48.8685162,2.3605485,4.5,"1,000+",3,"","https://www.ubereats.com/fr-en/store/teake-your-time/xjvZ4HFjX1mvLDrBx7FdAg"
12,"Siam Square","Rue du Château d'Eau","Paris 10e",48.8688248,2.3624498,4.6,"2,000+",2,"2 Offers Available","https://www.ubereats.com/fr-en/store/siam-square-republique/Ll7MNxqqRRyDPcPz_ObVdQ"
13,"Canal Thai","Quai de Jemmapes","Paris 10e",48.8690946,2.3675657,4.4,"410+",4,"","https://www.ubereats.com/fr-en/store/canal-thai/MC-QmXKBSsOz_p8XRL6OxA"
14,"Rapid'Naan","52 Rue du Faubourg du Temple","Paris 11e",48.86962,2.3703025,4.6,"500+",3,"","https://www.ubereats.com/fr-en/store/rapidnaan/jvMVtLCQR6WKLyh2v0fwgw"
