ordre,name,address,city,lat,lng,rating,reviews,score,promo,uber_eats_url
1,"Le Buron à Pizza","Residence Ferber","Issy-les-Moulineaux",48.826074,2.2660804,4.5,"500+",4,"","https://www.ubereats.com/fr-en/store/le-buron-a-pizza/-xmzbh4FS9mjCWHcOvpDJQ"
2,"Taj mahal Boulogne Billancourt","Rue des Peupliers","Boulogne-Billancourt",48.8339216,2.2551279,4.4,"230+",4,"","https://www.ubereats.com/fr-en/store/taj-mahal-boulogne-billancourt/SrcqMZsWRn-kS7y9Efr5Og"
3,"Panda House","8 Rue Chapu","Paris 16e",48.840995,2.2662701,4.6,"900+",3,"","https://www.ubereats.com/fr-en/store/panda-house/C78AjmfBRJGLAAWCuavuNw"
4,"786","Quai Louis Blériot","Paris 16e",48.8417159,2.269039,4.6,"6,000+",0,"","https://www.ubereats.com/fr-en/store/786-choisy-le-roi/PFyGkeaKQICzzhsiBdeAIQ"
5,"Burger &amp; Fries  Auteuil","10 Rue Géricault","Paris 16e",48.8484159,2.2625348,4.6,"8,000+",0,"Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/burger-%26-fries-auteuil/xrH9H4ZxRk-hX8dlQzPZ0w"
6,"Thaï Garden 🇹🇭","107 Boulevard Exelmans","Paris 16e",48.8456271,2.2582384,3.6,"230+",2,"","https://www.ubereats.com/fr-en/store/thai-garden/lm2JuUCURkmECSgiQEtBuQ"
7,"Garden Thaï 🍜","107 Boulevard Exelmans","Paris 16e",48.8456271,2.2582384,4.4,"460+",4,"Top Offer • Spend €20, Save €5","https://www.ubereats.com/fr-en/store/garden-thai/zNjo566ZRDSwtep7-QYU7w"
