ordre,name,address,city,lat,lng,rating,reviews,score,promo,uber_eats_url
1,"Best Burger","8 Rue Marguerite de Rochechouart","Paris 9e",48.8768884,2.3446077,4.6,"4,000+",0,"","https://www.ubereats.com/fr-en/store/best-burger/RgJXI6rCRt-zTrHnriMVMA"
2,"Jaipur Café","Rue des Messageries","Paris 10e",48.8763314,2.3495103,4.3,"190+",6,"","https://www.ubereats.com/fr-en/store/jaipur-cafe/35V7OX_hST6O5Tz4IcYzyw"
3,"Asian Panier","Rue de Paradis","Paris 10e",48.8755465,2.3492587,4.6,"120+",3,"2 Offers Available","https://www.ubereats.com/fr-en/store/asian-panier-paris/LGassLimVu-oLLC8DOOgyA"
4,"Asian Panier","Rue de Paradis","Paris 10e",48.8755465,2.3492587,4.6,"120+",3,"2 Offers Available","https://www.ubereats.com/fr-en/store/asian-panier-paris/LGassLimVu-oLLC8DOOgyA?storeSearchQuery=burgers"
5,"Blossom Burgers","Rue de Chabrol","Paris 10e",48.8769293,2.3532159,4.4,"1,000+",3,"","https://www.ubereats.com/fr-en/store/blossom-burgers/aohJzWQ7Rfy8JGMzswCiwA"
6,"New Delhi Palace","Rue de Valenciennes","Paris 10e",48.8782104,2.3548615,4.2,"240+",6,"","https://www.ubereats.com/fr-en/store/new-delhi-palace/lAbScE7bTsaTfuw1sSxKOA"
7,"Karachi Biryani","Rue des Deux Gares","Paris 10e",48.8783379,2.3574422,4,"110+",7,"","https://www.ubereats.com/fr-en/store/karachi-biryani/m2pb6bZUVf-UvF3vvsptDQ"
8,"Chennai Dosa","Rue du Faubourg Saint-Denis","Paris 10e",48.8797114,2.3574552,4.2,"500+",7,"","https://www.ubereats.com/fr-en/store/chennai-dosa/TqA8s5A_Uy-InbmCHsf-Ig"
9,"Madras Bhavan","Rue du Faubourg Saint-Denis","Paris 10e",48.8804717,2.3578445,3.9,"430+",8,"Buy 1, Get 1 Free","https://www.ubereats.com/fr-en/store/madras-bhavan/dS-EnlbfSsWwZtvHoy_ZzQ"
10,"Boua Thaï","Rue Saint-Vincent de Paul","Paris 10e",48.8811183,2.352371,4.4,"103",4,"","https://www.ubereats.com/fr-en/store/boua-thai/uOyyH0KvXqm2bobBwG7IXQ"
11,"Au Palais du Grand Moghol","Rue Gérando","Paris 9e",48.8825108,2.3457588,4.5,"130+",4,"","https://www.ubereats.com/fr-en/store/au-palais-du-grand-moghol/r_6u9BaJTdiDBFkbSmcCxg"
12,"Burger Addict","Rue du 8 Mai 1945","Paris 10e",48.8762581,2.3567955,4.5,"450+",4,"","https://www.ubereats.com/fr-en/store/burger-addict-cachan/yxQzW1YoXwCIoJztACxNrg"
13,"SAHIL","106 Rue du Faubourg Saint-Denis","Paris 10e",48.8749853,2.355942,4.5,"1,000+",4,"","https://www.ubereats.com/fr-en/store/sahil/ZHTswN9CRNuq3gSvTCYjCA"
14,"Sheezan","Passage du Désir","Paris 10e",48.8736848,2.3551031,4.3,"190+",7,"","https://www.ubereats.com/fr-en/store/sheezan/7pSB1n63ROeKZgxVWVNTGg"
15,"Asian Touch","Rue Saint-Maur","Paris 10e",48.8726847,2.3710038,4.6,"900+",3,"","https://www.ubereats.com/fr-en/store/asian-touch/ocXexl1TS3mpInmA-i7Qgw"
